500 3496
1 2 192.020741 1
1 259 28.494721 1
1 252 42.725004 1
1 39 14.005618 1
2 100 18.854977 1
2 4 196.224487 1
2 260 38.173901 1
2 231 30.538816 1
2 106 12.339564 1
2 138 39.694509 1
2 365 20.975561 1
2 370 41.442271 1
2 339 38.941274 1
2 467 24.258791 1
2 285 38.376114 1
2 185 28.825273 1
2 442 10.946178 1
2 253 33.889995 1
2 191 23.746755 1
3 6 138.029625 1
3 143 37.939860 1
3 273 42.719596 1
3 274 15.155806 1
3 403 26.535870 1
3 148 30.303652 1
3 277 285.666114 1
3 430 12.372608 1
3 433 354.933200 1
3 307 32.798948 1
3 53 22.213083 1
3 54 26.269331 1
3 60 43.309972 1
3 201 32.862775 1
3 211 34.646109 1
3 85 30.906254 1
3 342 37.223429 1
3 120 15.884246 1
3 352 21.512999 1
3 482 27.533732 1
3 102 35.347611 1
3 369 18.454394 1
3 248 18.147440 1
3 381 22.476300 1
4 418 31.454795 1
4 131 28.420676 1
4 229 43.942469 1
4 37 37.530938 1
4 8 264.058083 1
4 424 26.576011 1
4 425 10.612525 1
4 139 27.931152 1
4 429 172.492491 1
4 270 31.944728 1
4 397 32.357235 1
4 376 36.278603 1
4 412 38.115308 1
5 260 42.640380 1
5 10 388.423967 1
5 235 30.580220 1
5 138 43.570729 1
5 202 43.699662 1
5 206 14.117252 1
5 210 35.681830 1
5 370 40.782832 1
6 129 20.135678 1
6 12 340.338284 1
6 239 24.117061 1
6 400 30.381166 1
6 81 3.908739 1
6 405 18.924494 1
6 87 278.632895 1
6 411 272.288553 1
6 188 25.430102 1
6 286 28.223976 1
6 223 38.748262 1
7 36 38.155679 1
7 389 41.882840 1
7 420 14.847540 1
7 155 12.783357 1
7 169 22.204369 1
7 10 35.653389 1
7 427 203.388242 1
7 108 43.836807 1
7 205 41.176785 1
7 14 323.651234 1
7 236 14.621673 1
7 457 35.848188 1
7 113 16.738082 1
7 51 31.998508 1
7 179 37.591807 1
7 59 34.043061 1
7 192 42.698661 1
8 355 35.983088 1
8 71 23.137362 1
8 267 14.214546 1
8 16 109.513278 1
8 402 15.105649 1
8 339 39.399324 1
8 86 37.477413 1
8 24 29.858521 1
8 218 26.990455 1
8 190 14.477001 1
9 193 24.047195 1
9 451 35.888186 1
9 69 25.631047 1
9 70 25.492901 1
9 18 308.236560 1
9 151 29.924789 1
9 375 27.487430 1
9 251 13.025725 1
10 420 31.053716 1
10 105 36.283120 1
10 169 14.289919 1
10 108 26.452876 1
10 205 26.076827 1
10 236 33.135313 1
10 15 43.606462 1
10 461 37.684720 1
10 179 5.296364 1
10 20 259.282407 1
10 155 29.684636 1
10 284 22.889008 1
10 189 301.841023 1
10 320 39.725823 1
11 195 18.400880 1
11 390 34.944002 1
11 489 27.180403 1
11 494 23.188610 1
11 431 26.575309 1
11 496 17.783168 1
11 278 39.361807 1
11 22 136.097229 1
11 280 33.948360 1
11 410 37.535702 1
11 475 26.332163 1
11 316 14.367486 1
11 159 13.799122 1
11 160 22.834353 1
12 139 85.544083 1
12 147 24.139438 1
12 22 34.561470 1
12 24 198.944489 1
