N 100
E 0 66 14
E 0 99 18
E 0 68 12
E 0 12 11
E 0 15 10
E 0 51 10
E 0 84 15
E 0 23 14
E 0 58 15
E 0 60 12
E 0 62 14
E 1 56 16
E 1 75 17
E 1 71 16
E 1 29 4
E 1 45 19
E 2 97 16
E 2 98 18
E 2 3 1
E 2 4 16
E 2 5 17
E 2 6 14
E 2 8 4
E 2 11 6
E 2 13 11
E 2 72 14
E 2 50 12
E 2 20 4
E 2 94 14
E 2 57 7
E 2 26 11
E 2 59 18
E 2 30 10
E 2 63 10
E 3 97 17
E 3 4 17
E 3 5 17
E 3 6 15
E 3 8 3
E 3 11 5
E 3 13 10
E 3 72 15
E 3 50 10
E 3 20 3
E 3 94 13
E 3 57 9
E 3 26 12
E 3 59 18
E 3 30 9
E 3 63 9
E 4 98 3
E 4 6 9
E 4 40 11
E 4 75 18
E 4 45 15
E 4 72 6
E 4 57 14
E 4 26 18
E 5 35 13
E 5 6 11
E 5 72 14
E 5 11 17
E 5 13 10
E 5 80 7
E 5 50 15
E 5 20 19
E 5 89 15
E 5 59 1
E 5 30 17
E 6 98 9
E 6 72 3
E 6 11 18
E 6 13 15
E 6 80 16
E 6 8 18
E 6 20 18
E 6 57 17
E 6 59 12
E 7 65 18
E 7 36 12
E 7 70 19
E 7 42 17
E 7 76 12
E 7 82 18
E 7 19 19
E 7 53 13
E 7 54 10
E 8 97 15
E 8 72 18
E 8 11 5
E 8 13 12
E 8 50 11
E 8 20 1
E 8 94 10
E 8 57 8
E 8 26 11
E 8 30 9
E 8 63 6
E 9 73 18
E 9 47 17
E 9 49 14
E 9 90 10
E 9 91 8
E 9 31 14
E 10 34 9
E 10 35 15
E 10 17 11
E 10 46 18
E 10 81 18
E 10 88 10
E 10 89 13
E 11 72 19
E 11 13 8
E 11 50 6
E 11 20 4
E 11 94 12
E 11 86 19
E 11 57 13
E 11 26 16
E 11 59 18
E 11 30 3
E 11 63 9
E 12 66 3
E 12 67 19
E 12 68 4
E 12 15 18
E 12 99 9
E 12 51 10
E 12 23 13
E 12 58 8
E 12 60 19
E 12 62 8
E 13 35 18
E 13 72 18
E 13 80 17
E 13 17 18
E 13 50 5
E 13 20 11
E 13 89 19
E 13 57 19
E 13 59 10
E 13 30 7
E 13 63 18
E 14 43 5
E 14 77 6
E 14 83 13
E 14 21 12
E 14 87 9
E 14 24 15
E 14 27 13
E 14 28 11
E 15 67 15
E 15 38 17
E 15 78 17
E 15 84 5
E 15 86 11
E 15 23 11
E 15 93 17
E 16 32 9
E 16 33 5
E 16 74 4
E 16 69 6
E 16 61 16
E 17 64 17
E 17 34 6
E 17 38 13
E 17 78 11
E 17 50 16
E 17 86 18
E 17 88 8
E 17 93 13
E 17 30 18
E 18 65 10
E 18 70 5
E 18 71 15
E 18 82 4
E 18 19 13
E 18 54 16
E 18 56 14
E 19 65 19
E 19 36 12
E 19 70 8
E 19 71 5
E 19 40 17
E 19 75 8
E 19 45 12
E 19 82 12
E 19 53 13
E 19 54 9
E 19 56 9
E 19 29 19
E 20 97 17
E 20 72 19
E 20 50 10
E 20 94 10
E 20 57 10
E 20 26 12
E 20 30 7
E 20 63 6
E 21 35 14
E 21 37 19
E 21 43 7
E 21 77 6
E 21 83 12
E 21 87 7
E 21 89 13
E 21 27 19
E 21 28 10
E 22 64 7
E 22 41 3
E 22 79 9
E 22 49 19
E 22 73 15
E 22 88 17
E 22 47 16
E 22 92 7
E 23 66 14
E 23 67 6
E 23 68 18
E 23 38 17
E 23 78 19
E 23 84 15
E 23 86 19
E 23 93 17
E 24 43 19
E 24 44 7
E 24 77 19
E 24 83 18
E 24 85 12
E 24 55 16
E 24 87 19
E 24 27 8
E 24 28 17
E 24 61 17
E 24 95 11
E 25 96 1
E 25 42 13
E 25 76 10
E 25 39 14
E 26 97 4
E 26 36 18
E 26 40 16
E 26 42 11
E 26 76 18
E 26 45 19
E 26 53 17
E 26 57 4
E 26 94 14
E 26 63 10
E 27 32 19
E 27 43 13
E 27 44 15
E 27 77 14
E 27 83 9
E 27 85 19
E 27 87 12
E 27 28 9
E 27 95 7
E 28 35 15
E 28 43 7
E 28 77 7
E 28 80 16
E 28 83 2
E 28 87 3
E 28 89 15
E 28 95 15
E 29 56 14
E 29 75 18
E 29 71 14
E 30 78 19
E 30 50 3
E 30 86 16
E 30 57 17
E 30 59 18
E 30 94 13
E 30 63 12
E 31 90 16
E 31 91 5
E 31 52 19
E 31 37 18
E 32 33 7
E 32 74 5
E 32 95 11
E 32 61 15
E 32 69 14
E 33 74 3
E 33 95 16
E 33 61 11
E 33 85 19
E 33 69 8
E 34 88 2
E 34 64 13
E 34 78 13
E 34 38 14
E 34 93 14
E 35 43 18
E 35 77 17
E 35 80 9
E 35 83 14
E 35 87 14
E 35 89 2
E 35 59 12
E 36 97 14
E 36 70 17
E 36 71 17
E 36 40 12
E 36 42 15
E 36 75 11
E 36 76 16
E 36 45 10
E 36 82 19
E 36 53 1
E 36 54 7
E 37 81 10
E 37 52 13
E 37 46 15
E 38 64 13
E 38 67 13
E 38 78 3
E 38 84 16
E 38 86 12
E 38 88 14
E 38 93 1
E 39 96 13
E 39 48 15
E 39 42 18
E 39 94 15
E 39 63 18
E 40 97 15
E 40 98 13
E 40 71 18
E 40 72 17
E 40 75 9
E 40 45 4
E 40 53 11
E 40 54 17
E 40 57 14
E 41 64 10
E 41 73 14
E 41 47 14
E 41 49 17
E 41 79 8
E 41 92 5
E 42 96 14
E 42 97 6
E 42 76 7
E 42 53 15
E 42 57 15
E 42 94 19
E 42 63 17
E 43 89 18
E 43 83 10
E 43 77 1
E 43 87 5
E 44 61 14
E 44 95 16
E 44 85 6
E 44 55 10
E 45 97 18
E 45 98 17
E 45 71 14
E 45 75 4
E 45 53 9
E 45 54 14
E 45 56 18
E 45 57 19
E 46 81 5
E 46 73 14
E 46 79 17
E 46 49 14
E 46 52 2
E 46 90 13
E 46 47 18
E 47 73 4
E 47 79 7
E 47 49 4
E 47 52 18
E 47 90 10
E 47 92 18
E 48 96 19
E 48 60 13
E 49 73 3
E 49 79 9
E 49 81 19
E 49 52 14
E 49 90 6
E 49 91 18
E 50 78 19
E 50 86 17
E 50 57 19
E 50 59 15
E 50 94 16
E 50 63 15
E 51 66 13
E 51 99 10
E 51 68 7
E 51 58 7
E 51 60 10
E 51 62 6
E 52 91 18
E 52 81 4
E 52 90 12
E 52 79 18
E 52 73 15
E 53 97 14
E 53 70 18
E 53 71 17
E 53 75 10
E 53 76 17
E 53 54 7
E 53 57 19
E 54 65 17
E 54 70 11
E 54 71 14
E 54 75 12
E 54 82 12
E 54 56 18
E 55 85 5
E 55 61 9
E 56 82 16
E 56 75 14
E 56 70 12
E 56 71 4
E 57 72 16
E 57 97 9
E 57 98 18
E 57 94 15
E 57 63 11
E 58 68 4
E 58 66 10
E 58 99 3
E 58 60 17
E 58 62 1
E 59 80 7
E 59 72 15
E 59 89 14
E 60 68 17
E 60 62 16
E 61 74 14
E 61 95 16
E 61 85 9
E 61 69 15
E 62 66 10
E 62 99 4
E 62 68 4
E 63 97 14
E 63 86 19
E 63 94 4
E 64 67 18
E 64 78 16
E 64 79 15
E 64 88 11
E 64 92 14
E 64 93 14
E 65 82 7
E 65 70 11
E 66 99 9
E 66 67 18
E 66 68 6
E 67 84 18
E 67 86 19
E 67 78 16
E 67 93 13
E 68 99 5
E 69 74 9
E 70 82 4
E 70 75 17
E 70 71 11
E 71 82 16
E 71 75 9
E 72 80 19
E 72 98 6
E 73 81 19
E 73 90 9
E 73 92 18
E 73 79 5
E 74 95 16
E 76 96 11
E 76 97 14
E 77 89 17
E 77 83 10
E 77 87 4
E 78 88 14
E 78 84 15
E 78 93 3
E 78 86 10
E 79 90 15
E 79 92 13
E 80 89 11
E 80 83 14
E 80 87 17
E 81 90 17
E 83 89 15
E 83 95 14
E 83 87 5
E 84 94 17
E 84 93 16
E 84 86 7
E 85 95 17
E 86 93 11
E 86 94 16
E 87 89 14
E 87 95 18
E 88 93 15
E 90 91 12
E 94 97 17
S 93 45 61 81 56 49 
S 14 31 84 29 2 68 58 74 94 10 
S 37 34 
S 78 27 
S 79 25 23 85 66 
